minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6239002967247669,31.98794538470396,15.399857871087663,36.39193274773971,7.764397263808015,20.036935875447412,13.426653573244213,28.409163947367364
0,Marvin the Martian,0.5979849407131272,34.813430658970475,13.755739043136376,27.775925373342996,6.09328973855182,23.39060635880831,11.816582016005817,19.071651851546687
0,Road Runner,0.6405890107520088,26.19271341175586,13.86379886679069,37.38089881851084,5.460424235688947,32.91711965085355,13.309883982788481,22.674047266117437
0,Foghorn Leghorn,0.6096543579252455,28.544701187053143,15.657834000651265,33.04564907333576,8.004890600023527,18.198550655300362,15.712651568079977,29.36284232609609
0,Bugs Bunny,0.6404173565185054,31.88137970905848,14.710356536631197,34.96957842302051,2.870919369598921,15.58746331812194,12.595111885054646,31.701337917272756
0,Elmer Fudd,0.6052129237523691,29.61262091797045,14.134779605487793,36.87844842554593,5.317208288970431,24.712989529926794,16.5225861816207,30.12145475199205
0,Lola Bunny,0.6453647769445106,35.81223130089585,14.929827168965158,34.535605073898196,3.122576198679115,23.005255970081226,16.57481294476897,32.85378354185495
0,Porky Pig,0.6163823775192886,26.465611304791253,15.394391096070764,38.21900094034952,3.9397004686058947,18.520079410604346,15.67802568010218,33.56023124446661
0,Tasmanian Devil,0.6228904953466999,28.986324301023295,15.128148265667098,34.14478390096937,5.216472430413611,26.337357499367,7.358833619980122,15.175695266160755
0,Gossamer,0.6108957014701373,29.81711000439266,15.008934396607893,36.34535719859253,5.8950814950911985,14.452237514599867,12.28186802236194,29.984171000471047
0,Granny,0.6189491966332279,30.843677224315122,14.107806155215474,40.394317704762955,4.904071180207929,23.26299425939801,15.34709293794326,32.51609090443273
0,Wile E. Coyote,0.6178464151980766,29.821036480329404,14.132481814162189,35.10227738757273,6.228793478575144,16.501680475575014,13.10197164928134,29.908326461116378
0,Tweety,0.6112292099061093,25.20793307975216,14.080552880983323,35.052937975729975,8.571039125781562,20.716543642212166,10.446222943986724,22.191731814501484
0,Penelope,0.6040481611165018,24.159960493070162,15.34834314086222,26.575764627513053,8.156141791264114,14.782811742055532,11.980531353106837,21.80633952736059
0,Daffy Duck,0.6227667954072545,28.8483759886562,14.793828243117694,33.60025128355243,7.45752683782232,18.799619990543018,11.519979196803805,24.897499680868624
12,Sylvester,0.6175281993688074,35.41777505824262,15.279387908820762,35.50566127678468,6.838876555795457,22.531749994648504,15.932135983973579,30.084489930803972
12,Marvin the Martian,0.5905545550939074,32.43578755999337,13.078938163703349,32.341670739085984,8.19583249064653,23.404131382669185,16.264097060217992,27.163223191941857
12,Road Runner,0.6296798588022084,30.746820121280756,13.270646685726993,36.4257375686972,4.996056502169765,28.132063184212964,11.378413159136436,22.657996570712275
12,Foghorn Leghorn,0.6207402938948172,30.62051029972816,14.99760931134568,37.40429447178333,7.753515761198139,20.25263790952963,15.373815714222832,31.496764638458774
12,Bugs Bunny,0.6371054367328037,29.528598139273658,15.976730201860828,33.3964408606768,7.467140616777883,22.622029204125134,11.542123016464465,22.661632798496438
12,Elmer Fudd,0.6209641802486411,28.852918164923093,14.662823512420688,37.31535666058152,2.2518643618387704,28.118404778770135,14.87938896054727,27.291041655961788
12,Lola Bunny,0.6370005661507224,34.488719579852784,15.148939079495824,39.62380615607568,1.8465120012374463,24.17047946056766,18.138017316538193,36.94164906376237
12,Porky Pig,0.6194988344226781,31.14622036177216,15.365839306082202,35.48737137839414,3.722075095486842,17.535168094924394,16.3542575866416,34.18111690118677
12,Tasmanian Devil,0.6010550995838237,24.809446269520468,15.077389453007859,31.84449748989421,5.510636492604403,20.359090393175308,8.089257413550223,16.81491537008259
12,Gossamer,0.615224408854484,34.89845407529251,15.589372865295546,37.636189326988294,5.346355360027859,19.76983268423603,13.643157748794556,29.914250996750294
12,Granny,0.619667033593828,26.342385162320426,14.713101580763052,34.57038572244577,7.6357547967129795,20.937062070128597,16.980402167594956,31.311275438039647
12,Wile E. Coyote,0.6268175414676321,29.906839853783538,15.685708544826324,37.717642629539455,4.129575563845087,24.963062651818184,15.55520100458535,29.821422598311234
12,Tweety,0.6018423613400188,28.740544493430313,13.249115725239147,34.88771659909092,6.755767669719421,23.513730554479785,15.476833134629013,28.073949675383393
12,Penelope,0.60370840513744,26.466146704290242,15.213731330475213,24.47229860887993,8.373666212025027,22.421164868122062,11.074892250990834,14.785413928571803
12,Daffy Duck,0.6061597073237929,31.25997202759789,14.751255076289144,35.35219800514907,5.395480087313213,21.343322264524545,12.731538629294437,25.88569371033996
24,Sylvester,0.6253027187986053,34.713002530428604,14.364341136081004,35.924912362158786,9.871117325194062,15.780310319213115,13.962659525245888,31.905088860508467
24,Marvin the Martian,0.6204722211396956,33.284606188182956,13.383903034265682,32.29568970348311,6.317149395554866,20.925097565520286,12.87993259638031,26.06322752442279
24,Road Runner,0.623420624997756,25.039430438965805,14.273335981710332,38.62999280089226,4.121641078696574,27.158326821835388,15.221207797496886,28.659736020420628
24,Foghorn Leghorn,0.60588691753787,29.07091016799615,16.623390633833377,35.27886940554018,5.190889814480915,23.992485378728084,15.432722060020199,26.729592529595823
24,Bugs Bunny,0.6314438219688836,37.67209361184733,15.461093481107234,35.030336157392036,5.961609693740379,21.471359508038276,11.810941711895746,25.869482571381685
24,Elmer Fudd,0.6392799203135228,31.726993809104798,16.921890600201028,33.73057315128091,6.225946491623549,27.140842073785304,13.619798807138858,23.072635084648386
24,Lola Bunny,0.626238229372725,32.00313389889388,14.113510893659262,35.15150531056207,5.090224682734943,19.054772463978274,17.019908962136125,34.78370736154673
24,Porky Pig,0.5998787635365456,33.17619239432404,15.422896813800367,36.957452068814405,5.080197380025587,22.294947001352508,16.258854829950867,30.69036259700407
